C1:1
C2:1
C3:1
C4:1
C5:1
J1:1
LED1:1
Q1:1
Q2:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
REF**:1
SW1:1
SW2:1
U1:1
U2:1
